#OBS: Time(MJD) filter ignore flux flux_err mag mag_err
OBS: 55011.6 g NULL  23.667 31.543 -8.435 1.447
OBS: 55014.6 g NULL  -34.206 29.245 nan -0.928
OBS: 55029.6 g NULL  24.494 27.677 -8.473 1.227
OBS: 55038.6 g NULL  -163.079 56.141 nan -0.374
OBS: 55074.4 g NULL  -10.523 32.813 nan -3.386
OBS: 55086.4 g NULL  -20.839 28.288 nan -1.474
OBS: 55089.4 g NULL  -15.857 30.002 nan -2.054
OBS: 55092.4 g NULL  -18.540 30.181 nan -1.767
OBS: 55095.4 g NULL  -12.986 29.784 nan -2.490
OBS: 55098.3 g NULL  43.691 30.524 -9.101 0.759
OBS: 55389.5 g NULL  -26.053 27.825 nan -1.160
OBS: 55398.5 g NULL  -28.314 41.493 nan -1.591
OBS: 55410.5 g NULL  -71.853 33.779 nan -0.510
OBS: 55413.5 g NULL  -5.833 29.930 nan -5.572
OBS: 55416.5 g NULL  -10.461 28.970 nan -3.007
OBS: 55422.5 g NULL  16.363 28.495 -8.035 1.891
OBS: 55425.4 g NULL  -63.093 31.638 nan -0.544
OBS: 55428.5 g NULL  41.767 30.723 -9.052 0.799
OBS: 55437.5 g NULL  -10.799 39.426 nan -3.964
OBS: 55440.5 g NULL  14.233 28.423 -7.883 2.168
OBS: 55443.5 g NULL  24.162 28.467 -8.458 1.279
OBS: 55446.5 g NULL  21.176 28.301 -8.315 1.451
OBS: 55449.4 g NULL  4.481 27.803 -6.628 6.737
OBS: 55452.4 g NULL  6.570 27.891 -7.044 4.609
OBS: 55455.4 g NULL  0.712 32.049 -4.631 48.865
OBS: 55458.3 g NULL  -54.131 38.288 nan -0.768
OBS: 55467.3 g NULL  16.114 31.628 -8.018 2.131
OBS: 55473.3 g NULL  -29.081 28.981 nan -1.082
OBS: 55479.2 g NULL  -42.959 29.939 nan -0.757
OBS: 55482.2 g NULL  -28.660 29.997 nan -1.136
OBS: 55500.2 g NULL  10.588 29.099 -7.562 2.984
OBS: 55503.3 g NULL  5.754 28.226 -6.900 5.326
OBS: 55512.3 g NULL  -57.302 38.265 nan -0.725
OBS: 55530.2 g NULL  -40.250 31.757 nan -0.857
OBS: 55536.3 g NULL  -27.282 32.027 nan -1.275
OBS: 55743.6 g NULL  -17.001 29.164 nan -1.863
OBS: 55764.6 g NULL  16.434 30.228 -8.039 1.997
OBS: 55767.6 g NULL  -13.964 28.866 nan -2.244
OBS: 55770.5 g NULL  -9.168 28.847 nan -3.416
OBS: 55773.6 g NULL  -31.958 30.482 nan -1.036
OBS: 55776.6 g NULL  -74.452 31.022 nan -0.452
OBS: 55779.6 g NULL  29.873 28.533 -8.688 1.037
OBS: 55782.4 g NULL  -7.196 36.070 nan -5.442
OBS: 55791.6 g NULL  -17.472 45.422 nan -2.823
OBS: 55794.5 g NULL  -3.568 28.836 nan -8.776
OBS: 55797.5 g NULL  13.559 27.710 -7.831 2.219
OBS: 55800.3 g NULL  -10.662 34.856 nan -3.550
OBS: 55803.5 g NULL  -16.750 28.939 nan -1.876
OBS: 55806.4 g NULL  -57.387 31.402 nan -0.594
OBS: 55809.3 g NULL  -22.019 30.538 nan -1.506
OBS: 55812.4 g NULL  -16.611 31.258 nan -2.043
OBS: 55821.3 g NULL  1.834 28.533 -5.658 16.893
OBS: 55824.3 g NULL  -21.513 30.524 nan -1.541
OBS: 55830.3 g NULL  4.257 29.870 -6.573 7.619
OBS: 55833.3 g NULL  22.577 28.493 -8.384 1.370
OBS: 55836.2 g NULL  -40.145 30.442 nan -0.823
OBS: 55839.4 g NULL  -5.453 38.414 nan -7.649
OBS: 55852.3 g NULL  10.356 27.873 -7.538 2.922
OBS: 55855.2 g NULL  -0.607 27.982 nan -50.092
OBS: 55858.2 g NULL  -7.197 28.130 nan -4.244
OBS: 55860.2 g NULL  -0.208 28.581 nan -149.406
OBS: 55863.3 g NULL  19.403 28.879 -8.220 1.616
OBS: 56147.5 g NULL  55597.614 1003.247 -16.863 0.020
OBS: 56150.5 g NULL  49268.610 537.558 -16.731 0.012
OBS: 56155.5 g NULL  39601.332 554.279 -16.494 0.015
OBS: 56161.3 g NULL  28408.282 327.942 -16.134 0.013
OBS: 56164.4 g NULL  23991.911 208.332 -15.950 0.009
OBS: 56176.4 g NULL  14007.086 131.661 -15.366 0.010
OBS: 56206.2 g NULL  7903.514 126.738 -14.745 0.017
OBS: 56209.2 g NULL  7600.628 124.926 -14.702 0.018
OBS: 56214.2 g NULL  7315.697 49.286 -14.661 0.007
OBS: 56217.3 g NULL  7146.740 71.610 -14.635 0.011
OBS: 56220.3 g NULL  7086.061 46.495 -14.626 0.007
OBS: 56475.5 g NULL  199.377 31.551 -10.749 0.172
OBS: 56480.5 g NULL  169.179 30.229 -10.571 0.194
OBS: 56486.6 g NULL  158.250 28.506 -10.498 0.196
OBS: 56489.5 g NULL  150.935 31.109 -10.447 0.224
OBS: 56501.4 g NULL  115.797 29.370 -10.159 0.275
OBS: 56507.6 g NULL  111.438 31.400 -10.118 0.306
OBS: 56512.5 g NULL  129.377 30.417 -10.280 0.255
OBS: 56518.5 g NULL  103.378 28.112 -10.036 0.295
OBS: 56531.5 g NULL  83.146 31.712 -9.800 0.414
OBS: 56534.5 g NULL  124.131 28.083 -10.235 0.246
OBS: 56539.4 g NULL  196.822 31.074 -10.735 0.171
OBS: 56545.3 g NULL  98.985 31.066 -9.989 0.341
OBS: 56563.3 g NULL  70.828 30.832 -9.626 0.473
OBS: 56571.2 g NULL  73.838 29.296 -9.671 0.431
OBS: 56574.2 g NULL  46.179 39.252 -9.161 0.923
OBS: 56590.3 g NULL  51.538 29.001 -9.280 0.611
OBS: 56593.3 g NULL  71.657 27.535 -9.638 0.417
OBS: 56596.2 g NULL  27.865 31.943 -8.613 1.245
OBS: 56601.2 g NULL  53.760 33.456 -9.326 0.676
OBS: 56628.3 g NULL  38.426 81.759 -8.962 2.310
OBS: 55014.6 r NULL  -1.913 19.639 nan -11.148
OBS: 55029.6 r NULL  -8.697 17.229 nan -2.151
OBS: 55074.5 r NULL  -64.737 25.041 nan -0.420
OBS: 55083.5 r NULL  -29.971 20.090 nan -0.728
OBS: 55086.4 r NULL  7.782 16.420 -7.228 2.291
OBS: 55089.4 r NULL  -16.383 18.143 nan -1.202
OBS: 55092.4 r NULL  -2.558 18.765 nan -7.966
OBS: 55095.4 r NULL  -8.588 21.669 nan -2.739
OBS: 55098.4 r NULL  69.133 19.292 -9.599 0.303
OBS: 55389.5 r NULL  2.105 16.015 -5.808 8.259
OBS: 55398.5 r NULL  24.985 23.536 -8.494 1.023
OBS: 55410.5 r NULL  -14.354 21.764 nan -1.646
OBS: 55413.4 r NULL  -15.038 17.607 nan -1.271
OBS: 55416.5 r NULL  12.559 19.209 -7.747 1.661
OBS: 55422.5 r NULL  24.401 18.167 -8.469 0.808
OBS: 55425.4 r NULL  -16.319 15.802 nan -1.051
OBS: 55428.5 r NULL  -10.977 16.485 nan -1.631
OBS: 55437.5 r NULL  -30.292 23.957 nan -0.859
OBS: 55440.5 r NULL  6.960 17.937 -7.106 2.798
